,subject,time,state
580,52,8,3
581,52,9,2
582,52,10,3
583,53,0,0
584,53,1,0
585,53,2,0
586,53,3,0
587,53,4,0
588,53,5,0
589,53,6,0
590,53,7,0
591,53,8,0
592,53,9,0
593,53,10,1
594,54,0,0
595,54,1,0
596,54,2,0
597,54,3,0
598,54,4,0
599,54,5,0
600,54,6,0
601,54,7,0
602,54,8,0
603,54,9,0
604,54,10,0
605,55,0,0
606,55,1,1
607,55,2,2
608,55,3,1
609,55,4,2
610,55,5,1
611,55,6,2
612,55,7,1
613,55,8,2
614,55,9,1
615,55,10,2
616,56,0,0
617,56,1,1
618,56,2,0
619,56,3,0
620,56,4,0
621,56,5,0
622,56,6,0
623,56,7,0
624,56,8,0
625,56,9,0
626,56,10,0
627,57,0,0
628,57,1,1
629,57,2,2
630,57,3,3
631,57,4,2
632,57,5,1
633,57,6,2
634,57,7,3
635,57,8,2
636,57,9,1
637,57,10,2
638,58,0,0
639,58,1,1
640,58,2,2
641,58,3,3
642,58,4,2
643,58,5,3
644,58,6,2
645,58,7,2
646,58,8,3
647,58,9,2
648,58,10,3
649,59,0,0
650,59,1,1
651,59,2,0
652,59,3,1
653,59,4,0
654,59,5,1
655,59,6,0
656,59,7,1
657,59,8,0
658,59,9,1
659,59,10,0
660,60,0,0
661,60,1,1
662,60,2,0
663,60,3,1
664,60,4,2
665,60,5,3
666,60,6,4
667,60,7,5
668,60,8,5
669,60,9,5
670,60,10,5
671,61,0,0
672,61,1,0
673,61,2,0
674,61,3,0
675,61,4,0
676,61,5,0
677,61,6,0
678,61,7,0
679,61,8,0
680,61,9,0
681,61,10,0
682,62,0,0
683,62,1,1
684,62,2,2
685,62,3,1
686,62,4,2
687,62,5,1
688,62,6,2
689,62,7,1
690,62,8,2
691,62,9,1
692,62,10,2
693,63,0,0
694,63,1,0
695,63,2,0
696,63,3,0
697,63,4,1
698,63,5,1
699,63,6,1
700,63,7,1
701,63,8,1
702,63,9,1
703,63,10,1
704,64,0,0
705,64,1,0
706,64,2,1
707,64,3,2
708,64,4,3
709,64,5,4
710,64,6,5
711,64,7,5
712,64,8,5
713,64,9,5
714,64,10,5
715,65,0,0
716,65,1,0
717,65,2,1
718,65,3,0
719,65,4,0
720,65,5,1
721,65,6,0
722,65,7,1
723,65,8,1
724,65,9,1
725,65,10,0
726,66,0,0
727,66,1,0
728,66,2,0
729,66,3,0
730,66,4,0
731,66,5,0
732,66,6,0
733,66,7,0
734,66,8,0
735,66,9,0
736,66,10,0
737,67,0,0
738,67,1,1
739,67,2,0
740,67,3,0
741,67,4,1
742,67,5,0
743,67,6,1
744,67,7,0
745,67,8,0
746,67,9,1
747,67,10,0
748,68,0,0
749,68,1,1
750,68,2,2
751,68,3,3
752,68,4,4
753,68,5,5
754,68,6,5
755,68,7,5
756,68,8,5
757,68,9,5
758,68,10,5
759,69,0,0
760,69,1,0
761,69,2,0
762,69,3,0
763,69,4,0
764,69,5,0
765,69,6,0
766,69,7,0
767,69,8,0
768,69,9,0
769,69,10,0
770,70,0,0
771,70,1,1
772,70,2,2
773,70,3,1
774,70,4,2
775,70,5,3
776,70,6,4
777,70,7,3
778,70,8,2
779,70,9,1
780,70,10,2
781,71,0,0
782,71,1,0
783,71,2,0
784,71,3,0
785,71,4,0
786,71,5,0
787,71,6,0
788,71,7,0
789,71,8,0
790,71,9,0
791,71,10,0
792,72,0,0
793,72,1,1
794,72,2,1
795,72,3,1
796,72,4,2
797,72,5,3
798,72,6,4
799,72,7,5
800,72,8,5
801,72,9,5
802,72,10,5
803,73,0,0
804,73,1,0
805,73,2,0
806,73,3,0
807,73,4,0
808,73,5,0
809,73,6,0
810,73,7,0
811,73,8,0
812,73,9,0
813,73,10,0
814,74,0,0
815,74,1,0
816,74,2,0
817,74,3,0
818,74,4,0
819,74,5,0
820,74,6,0
821,74,7,0
822,74,8,0
823,74,9,0
824,74,10,0
825,75,0,0
826,75,1,0
827,75,2,0
828,75,3,0
829,75,4,0
830,75,5,0
831,75,6,0
832,75,7,0
833,75,8,0
834,75,9,0
835,75,10,0
836,76,0,0
837,76,1,1
838,76,2,2
839,76,3,2
840,76,4,3
841,76,5,4
842,76,6,3
843,76,7,3
844,76,8,3
845,76,9,3
846,76,10,3
847,77,0,0
848,77,1,0
849,77,2,0
850,77,3,0
851,77,4,0
852,77,5,0
853,77,6,0
854,77,7,0
855,77,8,0
856,77,9,0
857,77,10,0
858,78,0,0
859,78,1,1
860,78,2,1
861,78,3,2
862,78,4,3
863,78,5,3
864,78,6,3
865,78,7,4
866,78,8,5
867,78,9,5
868,78,10,5
869,79,0,0
870,79,1,0
871,79,2,0
872,79,3,0
873,79,4,0
874,79,5,1
875,79,6,0
876,79,7,0
877,79,8,0
878,79,9,0
879,79,10,0
880,80,0,0
881,80,1,1
882,80,2,2
883,80,3,1
884,80,4,0
885,80,5,0
886,80,6,1
887,80,7,0
888,80,8,0
889,80,9,1
890,80,10,2
891,81,0,0
892,81,1,1
893,81,2,2
894,81,3,1
895,81,4,0
896,81,5,1
897,81,6,0
898,81,7,1
899,81,8,0
900,81,9,1
901,81,10,0
902,82,0,0
903,82,1,1
904,82,2,2
905,82,3,1
906,82,4,2
907,82,5,1
908,82,6,2
909,82,7,1
910,82,8,2
911,82,9,3
912,82,10,4
913,83,0,0
914,83,1,1
915,83,2,2
916,83,3,1
917,83,4,2
918,83,5,1
919,83,6,2
920,83,7,1
921,83,8,2
922,83,9,1
923,83,10,2
924,84,0,0
925,84,1,0
926,84,2,0
927,84,3,0
928,84,4,1
929,84,5,2
930,84,6,1
931,84,7,1
932,84,8,1
933,84,9,0
934,84,10,0
935,85,0,0
936,85,1,1
937,85,2,2
938,85,3,1
939,85,4,2
940,85,5,3
941,85,6,4
942,85,7,3
943,85,8,4
944,85,9,5
945,85,10,5
946,86,0,0
947,86,1,1
948,86,2,0
949,86,3,1
950,86,4,1
951,86,5,1
952,86,6,0
953,86,7,1
954,86,8,0
955,86,9,1
956,86,10,0
957,87,0,0
958,87,1,0
959,87,2,0
960,87,3,0
961,87,4,0
962,87,5,0
963,87,6,0
964,87,7,0
965,87,8,0
966,87,9,0
967,87,10,0
968,88,0,0
969,88,1,0
970,88,2,0
971,88,3,0
972,88,4,0
973,88,5,0
974,88,6,0
975,88,7,0
976,88,8,0
977,88,9,0
978,88,10,0
979,89,0,0
980,89,1,1
981,89,2,0
982,89,3,1
983,89,4,0
984,89,5,1
985,89,6,0
986,89,7,1
987,89,8,0
988,89,9,1
989,89,10,2
990,90,0,0
991,90,1,1
992,90,2,0
993,90,3,1
994,90,4,2
995,90,5,2
996,90,6,3
997,90,7,4
998,90,8,5
999,90,9,5
1000,90,10,5
1001,91,0,0
1002,91,1,0
1003,91,2,0
1004,91,3,0
1005,91,4,0
1006,91,5,0
1007,91,6,0
1008,91,7,0
1009,91,8,0
1010,91,9,0
1011,91,10,0
1012,92,0,0
1013,92,1,0
1014,92,2,0
1015,92,3,0
1016,92,4,1
1017,92,5,2
1018,92,6,1
1019,92,7,2
1020,92,8,1
1021,92,9,1
1022,92,10,1
1023,93,0,0
1024,93,1,1
1025,93,2,2
1026,93,3,1
1027,93,4,2
1028,93,5,3
1029,93,6,4
1030,93,7,3
1031,93,8,2
1032,93,9,1
1033,93,10,2
1034,94,0,0
1035,94,1,1
1036,94,2,0
1037,94,3,1
1038,94,4,0
1039,94,5,1
1040,94,6,2
1041,94,7,1
1042,94,8,0
1043,94,9,1
1044,94,10,0
1045,95,0,0
1046,95,1,1
1047,95,2,1
1048,95,3,0
1049,95,4,1
1050,95,5,0
1051,95,6,1
1052,95,7,1
1053,95,8,1
1054,95,9,2
1055,95,10,2
1056,96,0,0
1057,96,1,1
1058,96,2,1
1059,96,3,1
1060,96,4,1
1061,96,5,1
1062,96,6,1
1063,96,7,1
1064,96,8,1
1065,96,9,1
1066,96,10,1
1067,97,0,0
1068,97,1,0
1069,97,2,0
1070,97,3,0
1071,97,4,0
1072,97,5,0
1073,97,6,0
1074,97,7,0
1075,97,8,0
1076,97,9,0
1077,97,10,0
1078,98,0,0
1079,98,1,1
1080,98,2,2
1081,98,3,1
1082,98,4,2
1083,98,5,3
1084,98,6,4
1085,98,7,5
1086,98,8,5
1087,98,9,5
1088,98,10,5
1089,99,0,0
1090,99,1,1
1091,99,2,0
1092,99,3,1
1093,99,4,0
1094,99,5,1
1095,99,6,0
1096,99,7,1
1097,99,8,2
1098,99,9,3
1099,99,10,4
1100,100,0,0
1101,100,1,1
1102,100,2,2
1103,100,3,3
1104,100,4,2
1105,100,5,3
1106,100,6,2
1107,100,7,3
1108,100,8,2
1109,100,9,1
1110,100,10,2
1111,101,0,0
1112,101,1,1
1113,101,2,2
1114,101,3,3
1115,101,4,2
1116,101,5,1
1117,101,6,2
1118,101,7,3
1119,101,8,4
1120,101,9,5
1121,101,10,5
1122,102,0,0
1123,102,1,0
1124,102,2,0
1125,102,3,0
1126,102,4,0
1127,102,5,0
1128,102,6,0
1129,102,7,0
1130,102,8,0
1131,102,9,0
1132,102,10,0
1133,103,0,0
1134,103,1,0
1135,103,2,0
1136,103,3,0
1137,103,4,0
1138,103,5,0
1139,103,6,0
1140,103,7,0
1141,103,8,0
1142,103,9,0
1143,103,10,0
1144,104,0,0
1145,104,1,0
1146,104,2,0
1147,104,3,0
1148,104,4,0
1149,104,5,0
1150,104,6,0
1151,104,7,0
1152,104,8,0
1153,104,9,0
1154,104,10,0
1155,105,0,0
1156,105,1,1
1157,105,2,2
1158,105,3,3
1159,105,4,4
1160,105,5,4
1161,105,6,3
1162,105,7,4
1163,105,8,3
1164,105,9,4
1165,105,10,4
1166,106,0,0
1167,106,1,1
1168,106,2,2
1169,106,3,1
1170,106,4,2
1171,106,5,1
1172,106,6,2
1173,106,7,1
1174,106,8,2
1175,106,9,1
1176,106,10,2
1177,107,0,0
1178,107,1,1
1179,107,2,1
1180,107,3,1
1181,107,4,0
1182,107,5,1
1183,107,6,0
1184,107,7,1
1185,107,8,0
1186,107,9,1
1187,107,10,0
1188,108,0,0
1189,108,1,1
1190,108,2,2
1191,108,3,3
1192,108,4,3
1193,108,5,2
1194,108,6,3
1195,108,7,2
1196,108,8,1
1197,108,9,2
1198,108,10,1
1199,109,0,0
1200,109,1,0
1201,109,2,0
1202,109,3,0
1203,109,4,0
1204,109,5,0
1205,109,6,0
1206,109,7,0
1207,109,8,0
1208,109,9,0
1209,109,10,0
1210,110,0,0
1211,110,1,1
1212,110,2,0
1213,110,3,1
1214,110,4,0
1215,110,5,1
1216,110,6,0
1217,110,7,1
1218,110,8,1
1219,110,9,0
1220,110,10,1
1221,111,0,0
1222,111,1,1
1223,111,2,2
1224,111,3,3
1225,111,4,4
1226,111,5,5
1227,111,6,5
1228,111,7,5
1229,111,8,5
1230,111,9,5
1231,111,10,5
1232,112,0,0
1233,112,1,1
1234,112,2,2
1235,112,3,1
1236,112,4,2
1237,112,5,1
1238,112,6,2
1239,112,7,1
1240,112,8,2
1241,112,9,1
1242,112,10,2
1243,113,0,0
1244,113,1,1
1245,113,2,0
1246,113,3,0
1247,113,4,1
1248,113,5,0
1249,113,6,1
1250,113,7,0
1251,113,8,1
1252,113,9,0
1253,113,10,1
1254,114,0,0
1255,114,1,1
1256,114,2,2
1257,114,3,3
1258,114,4,2
1259,114,5,1
1260,114,6,2
1261,114,7,3
1262,114,8,2
1263,114,9,3
1264,114,10,2
1265,115,0,0
1266,115,1,1
1267,115,2,2
1268,115,3,3
1269,115,4,2
1270,115,5,1
1271,115,6,2
1272,115,7,1
1273,115,8,2
1274,115,9,1
1275,115,10,2
1276,116,0,0
1277,116,1,0
1278,116,2,0
1279,116,3,0
1280,116,4,0
1281,116,5,0
1282,116,6,0
1283,116,7,1
1284,116,8,0
1285,116,9,1
1286,116,10,0
1287,117,0,0
1288,117,1,0
1289,117,2,0
1290,117,3,0
1291,117,4,1
1292,117,5,1
1293,117,6,0
1294,117,7,1
1295,117,8,1
1296,117,9,1
1297,117,10,1
1298,118,0,0
1299,118,1,0
1300,118,2,0
1301,118,3,0
1302,118,4,0
1303,118,5,0
1304,118,6,0
1305,118,7,0
1306,118,8,0
1307,118,9,0
1308,118,10,0
1309,119,0,0
1310,119,1,1
1311,119,2,2
1312,119,3,1
1313,119,4,2
1314,119,5,1
1315,119,6,2
1316,119,7,1
1317,119,8,2
1318,119,9,1
1319,119,10,2
1320,120,0,0
1321,120,1,0
1322,120,2,0
1323,120,3,0
1324,120,4,1
1325,120,5,2
1326,120,6,1
1327,120,7,2
1328,120,8,1
1329,120,9,2
1330,120,10,1
1331,121,0,0
1332,121,1,0
1333,121,2,0
1334,121,3,0
1335,121,4,0
1336,121,5,1
1337,121,6,2
1338,121,7,1
1339,121,8,2
1340,121,9,3
1341,121,10,4
1342,122,0,0
1343,122,1,0
1344,122,2,1
1345,122,3,2
1346,122,4,3
1347,122,5,2
1348,122,6,2
1349,122,7,1
1350,122,8,1
1351,122,9,2
1352,122,10,1
1353,123,0,0
1354,123,1,1
1355,123,2,0
1356,123,3,1
1357,123,4,1
1358,123,5,1
1359,123,6,0
1360,123,7,1
1361,123,8,1
1362,123,9,1
1363,123,10,0
1364,124,0,0
1365,124,1,1
1366,124,2,2
1367,124,3,2
1368,124,4,3
1369,124,5,4
1370,124,6,3
1371,124,7,2
1372,124,8,2
1373,124,9,2
1374,124,10,3
1375,125,0,0
1376,125,1,1
1377,125,2,0
1378,125,3,1
1379,125,4,2
1380,125,5,1
1381,125,6,2
1382,125,7,1
1383,125,8,2
1384,125,9,1
1385,125,10,2
1386,126,0,0
1387,126,1,1
1388,126,2,0
1389,126,3,1
1390,126,4,1
1391,126,5,0
1392,126,6,1
1393,126,7,1
1394,126,8,1
1395,126,9,2
1396,126,10,1
1397,127,0,0
1398,127,1,1
1399,127,2,2
1400,127,3,1
1401,127,4,2
1402,127,5,1
1403,127,6,2
1404,127,7,1
1405,127,8,2
1406,127,9,1
1407,127,10,2
1408,128,0,0
1409,128,1,1
1410,128,2,2
1411,128,3,3
1412,128,4,4
1413,128,5,5
1414,128,6,5
1415,128,7,5
1416,128,8,5
1417,128,9,5
1418,128,10,5
1419,129,0,0
1420,129,1,0
1421,129,2,0
1422,129,3,0
1423,129,4,0
1424,129,5,0
1425,129,6,0
1426,129,7,0
1427,129,8,0
1428,129,9,0
1429,129,10,0
1430,130,0,0
1431,130,1,1
1432,130,2,2
1433,130,3,3
1434,130,4,2
1435,130,5,3
1436,130,6,3
1437,130,7,4
1438,130,8,5
1439,130,9,5
1440,130,10,5
1441,131,0,0
1442,131,1,0
1443,131,2,0
1444,131,3,0
1445,131,4,0
1446,131,5,0
1447,131,6,0
1448,131,7,0
1449,131,8,0
1450,131,9,0
1451,131,10,0
1452,132,0,0
1453,132,1,0
1454,132,2,0
1455,132,3,0
1456,132,4,0
1457,132,5,1
1458,132,6,2
1459,132,7,1
1460,132,8,2
1461,132,9,1
1462,132,10,2
1463,133,0,0
1464,133,1,1
1465,133,2,1
1466,133,3,1
1467,133,4,2
1468,133,5,3
1469,133,6,2
1470,133,7,3
1471,133,8,4
1472,133,9,4
1473,133,10,3
1474,134,0,0
1475,134,1,1
1476,134,2,1
1477,134,3,1
1478,134,4,2
1479,134,5,2
1480,134,6,3
1481,134,7,2
1482,134,8,3
1483,134,9,2
1484,134,10,2
1485,135,0,0
1486,135,1,1
1487,135,2,0
1488,135,3,1
1489,135,4,0
1490,135,5,0
1491,135,6,0
1492,135,7,1
1493,135,8,2
1494,135,9,1
1495,135,10,0
1496,136,0,0
1497,136,1,1
1498,136,2,0
1499,136,3,1
1500,136,4,2
1501,136,5,1
1502,136,6,0
1503,136,7,1
1504,136,8,0
1505,136,9,1
1506,136,10,0
1507,137,0,0
1508,137,1,1
1509,137,2,2
1510,137,3,3
1511,137,4,4
1512,137,5,5
1513,137,6,5
1514,137,7,5
1515,137,8,5
1516,137,9,5
1517,137,10,5
1518,138,0,0
1519,138,1,0
1520,138,2,1
1521,138,3,2
1522,138,4,3
1523,138,5,4
1524,138,6,5
1525,138,7,5
1526,138,8,5
1527,138,9,5
1528,138,10,5
1529,139,0,0
1530,139,1,1
1531,139,2,1
1532,139,3,1
1533,139,4,1
1534,139,5,2
1535,139,6,3
1536,139,7,2
1537,139,8,2
1538,139,9,3
1539,139,10,4
1540,140,0,0
1541,140,1,1
1542,140,2,2
1543,140,3,3
1544,140,4,2
1545,140,5,3
1546,140,6,4
1547,140,7,3
1548,140,8,4
1549,140,9,3
1550,140,10,4
1551,141,0,0
1552,141,1,0
1553,141,2,0
1554,141,3,0
1555,141,4,0
1556,141,5,0
1557,141,6,0
1558,141,7,0
1559,141,8,0
1560,141,9,0
1561,141,10,0
1562,142,0,0
1563,142,1,0
1564,142,2,0
1565,142,3,0
1566,142,4,0
1567,142,5,0
1568,142,6,0
1569,142,7,0
1570,142,8,0
1571,142,9,0
1572,142,10,0
1573,143,0,0
1574,143,1,1
1575,143,2,0
1576,143,3,1
1577,143,4,0
1578,143,5,1
1579,143,6,0
1580,143,7,1
1581,143,8,0
1582,143,9,1
1583,143,10,0
1584,144,0,0
1585,144,1,0
1586,144,2,0
1587,144,3,0
1588,144,4,0
1589,144,5,0
1590,144,6,0
1591,144,7,0
1592,144,8,0
1593,144,9,0
1594,144,10,0
1595,145,0,0
1596,145,1,1
1597,145,2,0
1598,145,3,1
1599,145,4,2
1600,145,5,1
1601,145,6,0
1602,145,7,1
1603,145,8,0
1604,145,9,1
1605,145,10,0
1606,146,0,0
1607,146,1,1
1608,146,2,2
1609,146,3,1
1610,146,4,1
1611,146,5,1
1612,146,6,1
1613,146,7,1
1614,146,8,2
1615,146,9,1
1616,146,10,1
1617,147,0,0
1618,147,1,0
1619,147,2,0
1620,147,3,0
1621,147,4,0
1622,147,5,0
1623,147,6,0
1624,147,7,0
1625,147,8,0
1626,147,9,0
1627,147,10,0
1628,148,0,0
1629,148,1,1
1630,148,2,0
1631,148,3,0
1632,148,4,1
1633,148,5,0
1634,148,6,0
1635,148,7,0
1636,148,8,1
1637,148,9,0
1638,148,10,0
1639,149,0,0
1640,149,1,0
1641,149,2,0
1642,149,3,0
1643,149,4,0
1644,149,5,1
1645,149,6,2
1646,149,7,1
1647,149,8,2
1648,149,9,1
1649,149,10,2
1650,150,0,0
1651,150,1,0
1652,150,2,0
1653,150,3,0
1654,150,4,0
1655,150,5,0
1656,150,6,0
1657,150,7,0
1658,150,8,0
1659,150,9,0
1660,150,10,0
1661,151,0,0
1662,151,1,1
1663,151,2,0
