,subject,time,state,state_max_by_time
336,56,1,1,1.0
337,56,3,0,1.0
338,56,5,0,1.0
339,56,6,0,1.0
340,56,8,0,1.0
341,56,9,0,1.0
342,57,0,0,0.0
343,57,2,2,2.0
344,57,3,3,3.0
345,57,6,2,3.0
346,57,8,2,3.0
347,57,10,2,3.0
348,58,0,0,0.0
349,58,3,3,3.0
350,58,4,2,3.0
351,58,8,3,3.0
352,58,9,2,3.0
353,58,10,3,3.0
354,59,0,0,0.0
355,59,4,0,0.0
356,59,5,1,1.0
357,59,8,0,1.0
358,59,9,1,1.0
359,59,10,0,1.0
360,60,0,0,0.0
361,60,2,0,0.0
362,60,4,2,2.0
363,60,5,3,3.0
364,60,6,4,4.0
365,60,8,5,5.0
366,61,1,0,0.0
367,61,2,0,0.0
368,61,3,0,0.0
369,61,4,0,0.0
370,61,7,0,0.0
371,61,10,0,0.0
372,62,0,0,0.0
373,62,3,1,1.0
374,62,5,1,1.0
375,62,7,1,1.0
376,62,9,1,1.0
377,62,10,2,2.0
378,63,2,0,0.0
379,63,4,1,1.0
380,63,6,1,1.0
381,63,8,1,1.0
382,63,9,1,1.0
383,63,10,1,1.0
384,64,3,2,2.0
385,64,4,3,3.0
386,64,6,5,5.0
387,64,7,5,5.0
388,64,8,5,5.0
389,64,10,5,5.0
390,65,0,0,0.0
391,65,2,1,1.0
392,65,4,0,1.0
393,65,5,1,1.0
394,65,6,0,1.0
395,65,9,1,1.0
396,66,3,0,0.0
397,66,4,0,0.0
398,66,5,0,0.0
399,66,6,0,0.0
400,66,7,0,0.0
401,66,10,0,0.0
402,67,0,0,0.0
403,67,3,0,0.0
404,67,4,1,1.0
405,67,5,0,1.0
406,67,7,0,1.0
407,67,10,0,1.0
408,68,0,0,0.0
409,68,1,1,1.0
410,68,3,3,3.0
411,68,4,4,4.0
412,68,6,5,5.0
413,68,10,5,5.0
414,69,1,0,0.0
415,69,2,0,0.0
416,69,4,0,0.0
417,69,5,0,0.0
418,69,7,0,0.0
419,69,8,0,0.0
420,70,1,1,1.0
421,70,4,2,2.0
422,70,7,3,3.0
423,70,8,2,3.0
424,70,9,1,3.0
425,70,10,2,3.0
426,71,0,0,0.0
427,71,1,0,0.0
428,71,2,0,0.0
429,71,3,0,0.0
430,71,5,0,0.0
431,71,7,0,0.0
432,72,0,0,0.0
433,72,1,1,1.0
434,72,2,1,1.0
435,72,3,1,1.0
436,72,8,5,5.0
437,72,9,5,5.0
438,73,0,0,0.0
439,73,2,0,0.0
440,73,3,0,0.0
441,73,4,0,0.0
442,73,6,0,0.0
443,73,8,0,0.0
444,74,0,0,0.0
445,74,1,0,0.0
446,74,2,0,0.0
447,74,3,0,0.0
448,74,5,0,0.0
449,74,6,0,0.0
450,75,0,0,0.0
451,75,2,0,0.0
452,75,3,0,0.0
453,75,5,0,0.0
454,75,6,0,0.0
455,75,7,0,0.0
456,76,0,0,0.0
457,76,1,1,1.0
458,76,5,4,4.0
459,76,6,3,4.0
460,76,7,3,4.0
461,76,9,3,4.0
462,77,2,0,0.0
463,77,3,0,0.0
464,77,4,0,0.0
465,77,5,0,0.0
466,77,7,0,0.0
467,77,10,0,0.0
468,78,0,0,0.0
469,78,2,1,1.0
470,78,4,3,3.0
471,78,6,3,3.0
472,78,9,5,5.0
473,78,10,5,5.0
474,79,0,0,0.0
475,79,2,0,0.0
476,79,5,1,1.0
477,79,6,0,1.0
478,79,7,0,1.0
479,79,9,0,1.0
480,80,0,0,0.0
481,80,1,1,1.0
482,80,4,0,1.0
483,80,7,0,1.0
484,80,8,0,1.0
485,80,10,2,2.0
486,81,0,0,0.0
487,81,2,2,2.0
488,81,4,0,2.0
489,81,6,0,2.0
490,81,8,0,2.0
491,81,9,1,2.0
492,82,0,0,0.0
493,82,2,2,2.0
494,82,4,2,2.0
495,82,6,2,2.0
496,82,9,3,3.0
497,82,10,4,4.0
498,83,1,1,1.0
499,83,4,2,2.0
500,83,5,1,2.0
501,83,7,1,2.0
502,83,8,2,2.0
503,83,10,2,2.0
504,84,0,0,0.0
505,84,1,0,0.0
506,84,2,0,0.0
507,84,5,2,2.0
508,84,9,0,2.0
509,84,10,0,2.0
510,85,1,1,1.0
511,85,3,1,1.0
512,85,4,2,2.0
513,85,7,3,3.0
514,85,8,4,4.0
515,85,9,5,5.0
516,86,0,0,0.0
517,86,1,1,1.0
518,86,4,1,1.0
519,86,6,0,1.0
520,86,9,1,1.0
521,86,10,0,1.0
522,87,0,0,0.0
523,87,4,0,0.0
524,87,5,0,0.0
525,87,7,0,0.0
526,87,8,0,0.0
527,87,10,0,0.0
528,88,0,0,0.0
529,88,1,0,0.0
530,88,3,0,0.0
531,88,5,0,0.0
532,88,6,0,0.0
533,88,8,0,0.0
534,89,1,1,1.0
535,89,2,0,1.0
536,89,4,0,1.0
537,89,5,1,1.0
538,89,7,1,1.0
539,89,10,2,2.0
540,90,0,0,0.0
541,90,3,1,1.0
542,90,6,3,3.0
543,90,7,4,4.0
544,90,8,5,5.0
545,90,10,5,5.0
546,91,0,0,0.0
547,91,2,0,0.0
548,91,4,0,0.0
549,91,6,0,0.0
550,91,8,0,0.0
551,91,9,0,0.0
552,92,0,0,0.0
553,92,1,0,0.0
554,92,2,0,0.0
555,92,5,2,2.0
556,92,8,1,2.0
557,92,9,1,2.0
558,93,1,1,1.0
559,93,2,2,2.0
560,93,3,1,2.0
561,93,4,2,2.0
562,93,6,4,4.0
563,93,7,3,4.0
564,94,1,1,1.0
565,94,5,1,1.0
566,94,6,2,2.0
567,94,7,1,2.0
568,94,8,0,2.0
569,94,9,1,2.0
570,95,2,1,1.0
571,95,3,0,1.0
572,95,7,1,1.0
573,95,8,1,1.0
574,95,9,2,2.0
575,95,10,2,2.0
576,96,0,0,0.0
577,96,1,1,1.0
578,96,5,1,1.0
579,96,6,1,1.0
580,96,7,1,1.0
581,96,8,1,1.0
582,97,1,0,0.0
583,97,4,0,0.0
584,97,6,0,0.0
585,97,7,0,0.0
586,97,8,0,0.0
587,97,10,0,0.0
588,98,0,0,0.0
589,98,4,2,2.0
590,98,5,3,3.0
591,98,7,5,5.0
592,98,8,5,5.0
593,98,10,5,5.0
594,99,1,1,1.0
595,99,4,0,1.0
596,99,5,1,1.0
597,99,6,0,1.0
598,99,8,2,2.0
599,99,9,3,3.0
600,100,2,2,2.0
601,100,3,3,3.0
602,100,4,2,3.0
603,100,6,2,3.0
604,100,9,1,3.0
605,100,10,2,3.0
606,101,2,2,2.0
607,101,3,3,3.0
608,101,4,2,3.0
609,101,6,2,3.0
610,101,7,3,3.0
611,101,9,5,5.0
612,102,2,0,0.0
613,102,3,0,0.0
614,102,4,0,0.0
615,102,7,0,0.0
616,102,9,0,0.0
617,102,10,0,0.0
618,103,1,0,0.0
619,103,2,0,0.0
620,103,5,0,0.0
621,103,7,0,0.0
622,103,8,0,0.0
623,103,10,0,0.0
624,104,0,0,0.0
625,104,1,0,0.0
626,104,2,0,0.0
627,104,5,0,0.0
628,104,6,0,0.0
629,104,8,0,0.0
630,105,1,1,1.0
631,105,2,2,2.0
632,105,4,4,4.0
633,105,6,3,4.0
634,105,7,4,4.0
635,105,8,3,4.0
636,106,0,0,0.0
637,106,2,2,2.0
638,106,3,1,2.0
639,106,5,1,2.0
640,106,6,2,2.0
641,106,8,2,2.0
642,107,0,0,0.0
643,107,4,0,0.0
644,107,5,1,1.0
645,107,7,1,1.0
646,107,8,0,1.0
647,107,10,0,1.0
648,108,0,0,0.0
649,108,1,1,1.0
650,108,6,3,3.0
651,108,7,2,3.0
652,108,8,1,3.0
653,108,9,2,3.0
654,109,0,0,0.0
655,109,5,0,0.0
656,109,7,0,0.0
657,109,8,0,0.0
658,109,9,0,0.0
659,109,10,0,0.0
660,110,1,1,1.0
661,110,3,1,1.0
662,110,4,0,1.0
663,110,6,0,1.0
664,110,8,1,1.0
665,110,10,1,1.0
666,111,1,1,1.0
667,111,4,4,4.0
668,111,5,5,5.0
669,111,7,5,5.0
670,111,8,5,5.0
671,111,9,5,5.0
672,112,0,0,0.0
673,112,5,1,1.0
674,112,6,2,2.0
675,112,7,1,2.0
676,112,8,2,2.0
677,112,10,2,2.0
678,113,1,1,1.0
679,113,3,0,1.0
680,113,4,1,1.0
681,113,6,1,1.0
682,113,9,0,1.0
683,113,10,1,1.0
684,114,2,2,2.0
685,114,3,3,3.0
686,114,4,2,3.0
687,114,6,2,3.0
688,114,8,2,3.0
689,114,9,3,3.0
690,115,0,0,0.0
691,115,3,3,3.0
692,115,5,1,3.0
693,115,6,2,3.0
694,115,9,1,3.0
695,115,10,2,3.0
696,116,0,0,0.0
697,116,2,0,0.0
698,116,3,0,0.0
699,116,5,0,0.0
700,116,7,1,1.0
701,116,9,1,1.0
702,117,1,0,0.0
703,117,5,1,1.0
704,117,6,0,1.0
705,117,8,1,1.0
706,117,9,1,1.0
707,117,10,1,1.0
708,118,0,0,0.0
709,118,3,0,0.0
710,118,6,0,0.0
711,118,7,0,0.0
712,118,8,0,0.0
713,118,10,0,0.0
714,119,0,0,0.0
715,119,1,1,1.0
716,119,2,2,2.0
717,119,3,1,2.0
718,119,5,1,2.0
719,119,10,2,2.0
720,120,0,0,0.0
721,120,1,0,0.0
722,120,6,1,1.0
723,120,7,2,2.0
724,120,8,1,2.0
725,120,10,1,2.0
726,121,0,0,0.0
727,121,1,0,0.0
728,121,6,2,2.0
729,121,8,2,2.0
730,121,9,3,3.0
731,121,10,4,4.0
732,122,0,0,0.0
733,122,3,2,2.0
734,122,5,2,2.0
735,122,6,2,2.0
736,122,7,1,2.0
737,122,8,1,2.0
738,123,3,1,1.0
739,123,4,1,1.0
740,123,5,1,1.0
741,123,6,0,1.0
742,123,7,1,1.0
743,123,10,0,1.0
744,124,0,0,0.0
745,124,5,4,4.0
746,124,6,3,4.0
747,124,7,2,4.0
748,124,9,2,4.0
749,124,10,3,4.0
750,125,0,0,0.0
751,125,1,1,1.0
752,125,2,0,1.0
753,125,3,1,1.0
754,125,6,2,2.0
755,125,9,1,2.0
756,126,0,0,0.0
757,126,2,0,0.0
758,126,5,0,0.0
759,126,7,1,1.0
760,126,9,2,2.0
761,126,10,1,2.0
762,127,0,0,0.0
763,127,3,1,1.0
764,127,4,2,2.0
765,127,5,1,2.0
766,127,7,1,2.0
767,127,8,2,2.0
768,128,2,2,2.0
769,128,3,3,3.0
770,128,5,5,5.0
771,128,6,5,5.0
772,128,9,5,5.0
773,128,10,5,5.0
774,129,0,0,0.0
775,129,4,0,0.0
776,129,6,0,0.0
777,129,7,0,0.0
778,129,8,0,0.0
779,129,10,0,0.0
780,130,1,1,1.0
781,130,4,2,2.0
782,130,6,3,3.0
783,130,8,5,5.0
784,130,9,5,5.0
785,130,10,5,5.0
786,131,0,0,0.0
787,131,1,0,0.0
788,131,2,0,0.0
789,131,5,0,0.0
790,131,6,0,0.0
791,131,8,0,0.0
792,132,1,0,0.0
793,132,2,0,0.0
794,132,4,0,0.0
795,132,7,1,1.0
796,132,9,1,1.0
797,132,10,2,2.0
798,133,2,1,1.0
799,133,4,2,2.0
800,133,6,2,2.0
801,133,7,3,3.0
802,133,8,4,4.0
803,133,9,4,4.0
804,134,4,2,2.0
805,134,5,2,2.0
806,134,7,2,2.0
807,134,8,3,3.0
808,134,9,2,3.0
809,134,10,2,3.0
810,135,0,0,0.0
811,135,1,1,1.0
812,135,2,0,1.0
813,135,3,1,1.0
814,135,8,2,2.0
815,135,9,1,2.0
816,136,1,1,1.0
817,136,2,0,1.0
818,136,3,1,1.0
819,136,5,1,1.0
820,136,6,0,1.0
821,136,7,1,1.0
822,137,0,0,0.0
823,137,1,1,1.0
824,137,2,2,2.0
825,137,4,4,4.0
826,137,7,5,5.0
827,137,9,5,5.0
828,138,1,0,0.0
829,138,2,1,1.0
830,138,3,2,2.0
831,138,7,5,5.0
832,138,9,5,5.0
833,138,10,5,5.0
834,139,2,1,1.0
835,139,3,1,1.0
836,139,5,2,2.0
837,139,8,2,2.0
838,139,9,3,3.0
839,139,10,4,4.0
840,140,2,2,2.0
841,140,3,3,3.0
842,140,6,4,4.0
843,140,7,3,4.0
844,140,8,4,4.0
845,140,10,4,4.0
846,141,0,0,0.0
847,141,1,0,0.0
848,141,2,0,0.0
849,141,3,0,0.0
850,141,6,0,0.0
851,141,8,0,0.0
852,142,1,0,0.0
853,142,5,0,0.0
854,142,7,0,0.0
855,142,8,0,0.0
856,142,9,0,0.0
857,142,10,0,0.0
858,143,4,0,0.0
859,143,6,0,0.0
860,143,7,1,1.0
861,143,8,0,1.0
862,143,9,1,1.0
863,143,10,0,1.0
864,144,0,0,0.0
865,144,3,0,0.0
866,144,6,0,0.0
867,144,7,0,0.0
868,144,8,0,0.0
869,144,9,0,0.0
870,145,0,0,0.0
871,145,1,1,1.0
872,145,3,1,1.0
873,145,5,1,1.0
874,145,8,0,1.0
875,145,9,1,1.0
876,146,1,1,1.0
877,146,2,2,2.0
878,146,5,1,2.0
879,146,6,1,2.0
880,146,8,2,2.0
881,146,10,1,2.0
882,147,2,0,0.0
883,147,4,0,0.0
884,147,5,0,0.0
885,147,7,0,0.0
886,147,8,0,0.0
887,147,10,0,0.0
888,148,0,0,0.0
889,148,4,1,1.0
890,148,5,0,1.0
891,148,6,0,1.0
892,148,8,1,1.0
893,148,9,0,1.0
894,149,0,0,0.0
895,149,1,0,0.0
896,149,3,0,0.0
897,149,6,2,2.0
898,149,7,1,2.0
899,149,9,1,2.0
900,150,0,0,0.0
901,150,1,0,0.0
902,150,2,0,0.0
903,150,3,0,0.0
904,150,6,0,0.0
905,150,10,0,0.0
906,151,0,0,0.0
907,151,2,0,0.0
908,151,3,1,1.0
909,151,7,2,2.0
910,151,9,1,2.0
911,151,10,2,2.0
912,152,2,2,2.0
913,152,4,4,4.0
914,152,5,3,4.0
915,152,6,4,4.0
916,152,7,3,4.0
917,152,10,2,4.0
918,153,1,1,1.0
919,153,3,1,1.0
920,153,4,2,2.0
921,153,6,2,2.0
922,153,8,2,2.0
923,153,10,2,2.0
924,154,0,0,0.0
925,154,2,2,2.0
926,154,5,3,3.0
927,154,6,2,3.0
928,154,7,1,3.0
929,154,10,2,3.0
930,155,0,0,0.0
931,155,2,2,2.0
932,155,4,2,2.0
933,155,5,1,2.0
934,155,6,2,2.0
935,155,7,1,2.0
936,156,0,0,0.0
937,156,1,1,1.0
938,156,2,1,1.0
939,156,6,1,1.0
940,156,7,1,1.0
941,156,10,1,1.0
942,157,0,0,0.0
943,157,1,1,1.0
944,157,6,2,2.0
945,157,7,1,2.0
946,157,9,1,2.0
947,157,10,2,2.0
948,158,0,0,0.0
949,158,2,0,0.0
950,158,3,1,1.0
951,158,6,2,2.0
952,158,8,2,2.0
953,158,10,4,4.0
954,159,2,0,0.0
955,159,4,0,0.0
956,159,5,0,0.0
957,159,8,1,1.0
958,159,9,0,1.0
959,159,10,1,1.0
960,160,1,1,1.0
961,160,2,0,1.0
962,160,3,1,1.0
963,160,6,0,1.0
964,160,8,0,1.0
965,160,10,0,1.0
966,161,0,0,0.0
967,161,2,0,0.0
968,161,3,1,1.0
969,161,7,1,1.0
970,161,9,0,1.0
971,161,10,0,1.0
972,162,1,1,1.0
973,162,2,0,1.0
974,162,4,0,1.0
975,162,5,1,1.0
976,162,7,2,2.0
977,162,10,5,5.0
978,163,0,0,0.0
979,163,3,1,1.0
980,163,4,0,1.0
981,163,6,0,1.0
982,163,9,1,1.0
983,163,10,0,1.0
984,164,0,0,0.0
985,164,2,0,0.0
986,164,3,1,1.0
987,164,6,1,1.0
988,164,8,1,1.0
989,164,9,1,1.0
990,165,0,0,0.0
991,165,3,0,0.0
992,165,4,0,0.0
993,165,6,0,0.0
994,165,7,1,1.0
995,165,9,2,2.0
996,166,0,0,0.0
997,166,2,0,0.0
998,166,4,0,0.0
999,166,5,1,1.0
1000,166,8,2,2.0
1001,166,9,3,3.0
1002,167,0,0,0.0
1003,167,3,0,0.0
1004,167,4,0,0.0
1005,167,7,0,0.0
1006,167,8,0,0.0
1007,167,10,0,0.0
1008,168,0,0,0.0
1009,168,1,1,1.0
1010,168,6,0,1.0
1011,168,7,1,1.0
1012,168,9,1,1.0
1013,168,10,1,1.0
1014,169,0,0,0.0
1015,169,1,1,1.0
1016,169,2,0,1.0
1017,169,3,1,1.0
1018,169,9,1,1.0
1019,169,10,0,1.0
1020,170,0,0,0.0
1021,170,2,2,2.0
1022,170,5,1,2.0
1023,170,6,2,2.0
1024,170,8,2,2.0
1025,170,9,1,2.0
1026,171,1,1,1.0
1027,171,3,3,3.0
1028,171,5,1,3.0
1029,171,6,2,3.0
1030,171,9,1,3.0
1031,171,10,2,3.0
1032,172,0,0,0.0
1033,172,1,1,1.0
1034,172,3,3,3.0
1035,172,4,4,4.0
1036,172,8,4,4.0
1037,172,10,4,4.0
1038,173,0,0,0.0
1039,173,4,1,1.0
1040,173,5,1,1.0
1041,173,6,1,1.0
1042,173,7,1,1.0
1043,173,10,1,1.0
1044,174,0,0,0.0
1045,174,1,1,1.0
1046,174,3,1,1.0
1047,174,6,2,2.0
1048,174,8,2,2.0
1049,174,9,1,2.0
1050,175,0,0,0.0
1051,175,1,0,0.0
1052,175,2,0,0.0
1053,175,5,0,0.0
1054,175,8,0,0.0
1055,175,10,0,0.0
1056,176,0,0,0.0
1057,176,1,0,0.0
1058,176,2,0,0.0
1059,176,3,0,0.0
1060,176,5,0,0.0
1061,176,7,0,0.0
1062,177,0,0,0.0
1063,177,2,2,2.0
1064,177,5,3,3.0
1065,177,7,3,3.0
1066,177,9,1,3.0
1067,177,10,2,3.0
1068,178,3,1,1.0
1069,178,4,1,1.0
1070,178,5,1,1.0
1071,178,6,1,1.0
1072,178,7,0,1.0
1073,178,10,1,1.0
1074,179,0,0,0.0
1075,179,2,2,2.0
1076,179,5,3,3.0
1077,179,7,4,4.0
1078,179,9,2,4.0
1079,179,10,3,4.0
1080,180,0,0,0.0
1081,180,2,2,2.0
1082,180,4,2,2.0
1083,180,8,2,2.0
1084,180,9,1,2.0
1085,180,10,2,2.0
1086,181,0,0,0.0
1087,181,1,1,1.0
1088,181,3,1,1.0
1089,181,4,0,1.0
1090,181,7,1,1.0
1091,181,10,0,1.0
1092,182,0,0,0.0
1093,182,2,0,0.0
1094,182,4,0,0.0
1095,182,5,1,1.0
1096,182,8,1,1.0
1097,182,10,1,1.0
1098,183,1,0,0.0
1099,183,4,3,3.0
1100,183,5,4,4.0
1101,183,6,3,4.0
1102,183,8,5,5.0
1103,183,10,5,5.0
1104,184,2,2,2.0
1105,184,4,2,2.0
1106,184,6,4,4.0
1107,184,7,5,5.0
1108,184,8,5,5.0
1109,184,10,5,5.0
1110,185,2,0,0.0
1111,185,4,1,1.0
1112,185,5,0,1.0
1113,185,6,1,1.0
1114,185,7,1,1.0
1115,185,8,0,1.0
1116,186,1,1,1.0
1117,186,2,2,2.0
1118,186,4,2,2.0
1119,186,5,1,2.0
1120,186,7,1,2.0
1121,186,8,2,2.0
1122,187,0,0,0.0
1123,187,1,1,1.0
1124,187,3,1,1.0
1125,187,4,2,2.0
1126,187,6,2,2.0
1127,187,7,1,2.0
1128,188,1,0,0.0
1129,188,2,1,1.0
1130,188,3,0,1.0
1131,188,6,1,1.0
1132,188,8,1,1.0
1133,188,9,0,1.0
1134,189,0,0,0.0
1135,189,1,0,0.0
1136,189,2,0,0.0
1137,189,3,0,0.0
1138,189,5,0,0.0
1139,189,7,1,1.0
1140,190,1,0,0.0
1141,190,2,0,0.0
1142,190,4,1,1.0
1143,190,7,1,1.0
1144,190,9,0,1.0
1145,190,10,1,1.0
1146,191,0,0,0.0
1147,191,1,1,1.0
1148,191,2,0,1.0
1149,191,3,0,1.0
1150,191,6,1,1.0
