,subject,time,state
878,79,9,0
879,79,10,0
880,80,0,0
881,80,1,0
882,80,2,0
883,80,3,0
884,80,4,0
885,80,5,0
886,80,6,0
887,80,7,0
888,80,8,0
889,80,9,0
890,80,10,0
891,81,0,0
892,81,1,1
893,81,2,0
894,81,3,1
895,81,4,0
896,81,5,0
897,81,6,0
898,81,7,0
899,81,8,0
900,81,9,0
901,81,10,0
902,82,0,0
903,82,1,1
904,82,2,0
905,82,3,1
906,82,4,2
907,82,5,1
908,82,6,2
909,82,7,1
910,82,8,2
911,82,9,1
912,82,10,2
913,83,0,0
914,83,1,0
915,83,2,0
916,83,3,0
917,83,4,0
918,83,5,0
919,83,6,0
920,83,7,0
921,83,8,0
922,83,9,0
923,83,10,0
924,84,0,0
925,84,1,0
926,84,2,0
927,84,3,0
928,84,4,0
929,84,5,0
930,84,6,0
931,84,7,0
932,84,8,0
933,84,9,0
934,84,10,0
935,85,0,0
936,85,1,0
937,85,2,0
938,85,3,0
939,85,4,0
940,85,5,0
941,85,6,0
942,85,7,0
943,85,8,0
944,85,9,1
945,85,10,2
946,86,0,0
947,86,1,1
948,86,2,1
949,86,3,0
950,86,4,1
951,86,5,1
952,86,6,1
953,86,7,0
954,86,8,1
955,86,9,1
956,86,10,0
957,87,0,0
958,87,1,0
959,87,2,0
960,87,3,0
961,87,4,0
962,87,5,0
963,87,6,0
964,87,7,0
965,87,8,0
966,87,9,0
967,87,10,0
968,88,0,0
969,88,1,0
970,88,2,0
971,88,3,0
972,88,4,0
973,88,5,0
974,88,6,0
975,88,7,0
976,88,8,0
977,88,9,0
978,88,10,0
979,89,0,0
980,89,1,0
981,89,2,0
982,89,3,0
983,89,4,0
984,89,5,0
985,89,6,1
986,89,7,0
987,89,8,0
988,89,9,0
989,89,10,0
990,90,0,0
991,90,1,0
992,90,2,0
993,90,3,0
994,90,4,0
995,90,5,0
996,90,6,0
997,90,7,0
998,90,8,0
999,90,9,0
1000,90,10,0
1001,91,0,0
1002,91,1,0
1003,91,2,0
1004,91,3,0
1005,91,4,0
1006,91,5,0
1007,91,6,0
1008,91,7,0
1009,91,8,0
1010,91,9,0
1011,91,10,0
1012,92,0,0
1013,92,1,0
1014,92,2,0
1015,92,3,0
1016,92,4,0
1017,92,5,0
1018,92,6,0
1019,92,7,0
1020,92,8,0
1021,92,9,0
1022,92,10,0
1023,93,0,0
1024,93,1,1
1025,93,2,2
1026,93,3,1
1027,93,4,2
1028,93,5,1
1029,93,6,2
1030,93,7,1
1031,93,8,1
1032,93,9,2
1033,93,10,1
1034,94,0,0
1035,94,1,0
1036,94,2,0
1037,94,3,0
1038,94,4,1
1039,94,5,0
1040,94,6,0
1041,94,7,0
1042,94,8,0
1043,94,9,0
1044,94,10,0
1045,95,0,0
1046,95,1,1
1047,95,2,0
1048,95,3,1
1049,95,4,1
1050,95,5,0
1051,95,6,0
1052,95,7,1
1053,95,8,0
1054,95,9,1
1055,95,10,1
1056,96,0,0
1057,96,1,1
1058,96,2,1
1059,96,3,1
1060,96,4,1
1061,96,5,1
1062,96,6,1
1063,96,7,1
1064,96,8,1
1065,96,9,1
1066,96,10,1
1067,97,0,0
1068,97,1,0
1069,97,2,0
1070,97,3,0
1071,97,4,0
1072,97,5,0
1073,97,6,0
1074,97,7,0
1075,97,8,0
1076,97,9,0
1077,97,10,0
1078,98,0,0
1079,98,1,0
1080,98,2,0
1081,98,3,0
1082,98,4,0
1083,98,5,0
1084,98,6,0
1085,98,7,0
1086,98,8,0
1087,98,9,0
1088,98,10,0
1089,99,0,0
1090,99,1,0
1091,99,2,1
1092,99,3,0
1093,99,4,0
1094,99,5,1
1095,99,6,0
1096,99,7,0
1097,99,8,0
1098,99,9,0
1099,99,10,0
1100,100,0,0
1101,100,1,1
1102,100,2,0
1103,100,3,1
1104,100,4,0
1105,100,5,1
1106,100,6,0
1107,100,7,1
1108,100,8,0
1109,100,9,1
1110,100,10,0
1111,101,0,0
1112,101,1,0
1113,101,2,0
1114,101,3,0
1115,101,4,0
1116,101,5,0
1117,101,6,0
1118,101,7,0
1119,101,8,0
1120,101,9,0
1121,101,10,0
1122,102,0,0
1123,102,1,0
1124,102,2,0
1125,102,3,0
1126,102,4,0
1127,102,5,0
1128,102,6,0
1129,102,7,0
1130,102,8,0
1131,102,9,0
1132,102,10,0
1133,103,0,0
1134,103,1,0
1135,103,2,0
1136,103,3,0
1137,103,4,0
1138,103,5,0
1139,103,6,0
1140,103,7,0
1141,103,8,0
1142,103,9,0
1143,103,10,0
1144,104,0,0
1145,104,1,0
1146,104,2,0
1147,104,3,0
1148,104,4,0
1149,104,5,0
1150,104,6,0
1151,104,7,0
1152,104,8,0
1153,104,9,0
1154,104,10,0
1155,105,0,0
1156,105,1,0
1157,105,2,0
1158,105,3,0
1159,105,4,0
1160,105,5,0
1161,105,6,0
1162,105,7,0
1163,105,8,0
1164,105,9,0
1165,105,10,0
1166,106,0,0
1167,106,1,1
1168,106,2,2
1169,106,3,1
1170,106,4,2
1171,106,5,1
1172,106,6,1
1173,106,7,2
1174,106,8,1
1175,106,9,2
1176,106,10,1
1177,107,0,0
1178,107,1,1
1179,107,2,1
1180,107,3,1
1181,107,4,1
1182,107,5,1
1183,107,6,1
1184,107,7,0
1185,107,8,1
1186,107,9,1
1187,107,10,1
1188,108,0,0
1189,108,1,0
1190,108,2,0
1191,108,3,0
1192,108,4,0
1193,108,5,0
1194,108,6,0
1195,108,7,1
1196,108,8,0
1197,108,9,0
1198,108,10,0
1199,109,0,0
1200,109,1,0
1201,109,2,0
1202,109,3,0
1203,109,4,0
1204,109,5,0
1205,109,6,0
1206,109,7,0
1207,109,8,0
1208,109,9,0
1209,109,10,0
1210,110,0,0
1211,110,1,0
1212,110,2,0
1213,110,3,0
1214,110,4,0
1215,110,5,0
1216,110,6,0
1217,110,7,0
1218,110,8,0
1219,110,9,0
1220,110,10,0
1221,111,0,0
1222,111,1,0
1223,111,2,0
1224,111,3,1
1225,111,4,0
1226,111,5,1
1227,111,6,0
1228,111,7,0
1229,111,8,0
1230,111,9,1
1231,111,10,0
1232,112,0,0
1233,112,1,0
1234,112,2,0
1235,112,3,0
1236,112,4,0
1237,112,5,0
1238,112,6,0
1239,112,7,0
1240,112,8,0
1241,112,9,0
1242,112,10,0
1243,113,0,0
1244,113,1,0
1245,113,2,0
1246,113,3,0
1247,113,4,0
1248,113,5,0
1249,113,6,0
1250,113,7,0
1251,113,8,0
1252,113,9,0
1253,113,10,0
1254,114,0,0
1255,114,1,0
1256,114,2,1
1257,114,3,1
1258,114,4,2
1259,114,5,1
1260,114,6,2
1261,114,7,1
1262,114,8,2
1263,114,9,1
1264,114,10,2
1265,115,0,0
1266,115,1,1
1267,115,2,2
1268,115,3,1
1269,115,4,2
1270,115,5,1
1271,115,6,2
1272,115,7,1
1273,115,8,2
1274,115,9,1
1275,115,10,2
1276,116,0,0
1277,116,1,0
1278,116,2,0
1279,116,3,0
1280,116,4,0
1281,116,5,0
1282,116,6,0
1283,116,7,0
1284,116,8,0
1285,116,9,0
1286,116,10,0
1287,117,0,0
1288,117,1,0
1289,117,2,0
1290,117,3,0
1291,117,4,0
1292,117,5,0
1293,117,6,0
1294,117,7,0
1295,117,8,0
1296,117,9,0
1297,117,10,0
1298,118,0,0
1299,118,1,0
1300,118,2,0
1301,118,3,0
1302,118,4,0
1303,118,5,0
1304,118,6,0
1305,118,7,0
1306,118,8,0
1307,118,9,0
1308,118,10,0
1309,119,0,0
1310,119,1,1
1311,119,2,2
1312,119,3,1
1313,119,4,2
1314,119,5,1
1315,119,6,0
1316,119,7,1
1317,119,8,2
1318,119,9,1
1319,119,10,0
1320,120,0,0
1321,120,1,0
1322,120,2,0
1323,120,3,0
1324,120,4,0
1325,120,5,0
1326,120,6,0
1327,120,7,0
1328,120,8,0
1329,120,9,0
1330,120,10,0
1331,121,0,0
1332,121,1,0
1333,121,2,0
1334,121,3,0
1335,121,4,0
1336,121,5,0
1337,121,6,0
1338,121,7,0
1339,121,8,0
1340,121,9,0
1341,121,10,0
1342,122,0,0
1343,122,1,0
1344,122,2,0
1345,122,3,0
1346,122,4,0
1347,122,5,0
1348,122,6,0
1349,122,7,0
1350,122,8,0
1351,122,9,0
1352,122,10,0
1353,123,0,0
1354,123,1,0
1355,123,2,0
1356,123,3,0
1357,123,4,1
1358,123,5,0
1359,123,6,0
1360,123,7,0
1361,123,8,0
1362,123,9,0
1363,123,10,0
1364,124,0,0
1365,124,1,0
1366,124,2,0
1367,124,3,0
1368,124,4,0
1369,124,5,0
1370,124,6,0
1371,124,7,0
1372,124,8,0
1373,124,9,0
1374,124,10,0
1375,125,0,0
1376,125,1,1
1377,125,2,0
1378,125,3,1
1379,125,4,0
1380,125,5,1
1381,125,6,0
1382,125,7,1
1383,125,8,0
1384,125,9,1
1385,125,10,1
1386,126,0,0
1387,126,1,0
1388,126,2,0
1389,126,3,0
1390,126,4,0
1391,126,5,0
1392,126,6,0
1393,126,7,1
1394,126,8,0
1395,126,9,0
1396,126,10,0
1397,127,0,0
1398,127,1,1
1399,127,2,0
1400,127,3,1
1401,127,4,0
1402,127,5,1
1403,127,6,0
1404,127,7,1
1405,127,8,0
1406,127,9,1
1407,127,10,2
1408,128,0,0
1409,128,1,0
1410,128,2,0
1411,128,3,0
1412,128,4,0
1413,128,5,0
1414,128,6,0
1415,128,7,0
1416,128,8,0
1417,128,9,0
1418,128,10,0
1419,129,0,0
1420,129,1,0
1421,129,2,0
1422,129,3,0
1423,129,4,0
1424,129,5,0
1425,129,6,0
1426,129,7,0
1427,129,8,0
1428,129,9,0
1429,129,10,0
1430,130,0,0
1431,130,1,0
1432,130,2,0
1433,130,3,1
1434,130,4,1
1435,130,5,1
1436,130,6,0
1437,130,7,0
1438,130,8,0
1439,130,9,0
1440,130,10,0
1441,131,0,0
1442,131,1,0
1443,131,2,0
1444,131,3,0
1445,131,4,0
1446,131,5,0
1447,131,6,0
1448,131,7,0
1449,131,8,0
1450,131,9,0
1451,131,10,0
1452,132,0,0
1453,132,1,0
1454,132,2,0
1455,132,3,0
1456,132,4,0
1457,132,5,0
1458,132,6,0
1459,132,7,0
1460,132,8,0
1461,132,9,0
1462,132,10,0
1463,133,0,0
1464,133,1,0
1465,133,2,0
1466,133,3,0
1467,133,4,0
1468,133,5,0
1469,133,6,0
1470,133,7,1
1471,133,8,1
1472,133,9,1
1473,133,10,1
1474,134,0,0
1475,134,1,0
1476,134,2,0
1477,134,3,0
1478,134,4,0
1479,134,5,0
1480,134,6,0
1481,134,7,0
1482,134,8,0
1483,134,9,0
1484,134,10,0
1485,135,0,0
1486,135,1,0
1487,135,2,0
1488,135,3,0
1489,135,4,0
1490,135,5,0
1491,135,6,0
1492,135,7,0
1493,135,8,0
1494,135,9,0
1495,135,10,0
1496,136,0,0
1497,136,1,0
1498,136,2,0
1499,136,3,0
1500,136,4,0
1501,136,5,0
1502,136,6,0
1503,136,7,0
1504,136,8,0
1505,136,9,0
1506,136,10,0
1507,137,0,0
1508,137,1,1
1509,137,2,0
1510,137,3,1
1511,137,4,2
1512,137,5,1
1513,137,6,1
1514,137,7,2
1515,137,8,1
1516,137,9,2
1517,137,10,1
1518,138,0,0
1519,138,1,0
1520,138,2,0
1521,138,3,0
1522,138,4,1
1523,138,5,1
1524,138,6,1
1525,138,7,1
1526,138,8,1
1527,138,9,1
1528,138,10,1
1529,139,0,0
1530,139,1,1
1531,139,2,0
1532,139,3,1
1533,139,4,0
1534,139,5,1
1535,139,6,0
1536,139,7,1
1537,139,8,1
1538,139,9,1
1539,139,10,0
1540,140,0,0
1541,140,1,1
1542,140,2,1
1543,140,3,1
1544,140,4,2
1545,140,5,1
1546,140,6,1
1547,140,7,1
1548,140,8,1
1549,140,9,1
1550,140,10,1
1551,141,0,0
1552,141,1,0
1553,141,2,0
1554,141,3,0
1555,141,4,0
1556,141,5,0
1557,141,6,0
1558,141,7,0
1559,141,8,0
1560,141,9,0
1561,141,10,0
1562,142,0,0
1563,142,1,0
1564,142,2,0
1565,142,3,0
1566,142,4,0
1567,142,5,0
1568,142,6,0
1569,142,7,0
1570,142,8,0
1571,142,9,0
1572,142,10,0
1573,143,0,0
1574,143,1,1
1575,143,2,0
1576,143,3,1
1577,143,4,0
1578,143,5,0
1579,143,6,1
1580,143,7,0
1581,143,8,1
1582,143,9,0
1583,143,10,1
1584,144,0,0
1585,144,1,0
1586,144,2,0
1587,144,3,0
1588,144,4,0
1589,144,5,0
1590,144,6,0
1591,144,7,0
1592,144,8,0
1593,144,9,0
1594,144,10,0
1595,145,0,0
1596,145,1,0
1597,145,2,0
1598,145,3,0
1599,145,4,0
1600,145,5,0
1601,145,6,1
1602,145,7,0
1603,145,8,0
1604,145,9,0
1605,145,10,0
1606,146,0,0
1607,146,1,0
1608,146,2,0
1609,146,3,0
1610,146,4,0
1611,146,5,0
1612,146,6,1
1613,146,7,0
1614,146,8,0
1615,146,9,0
1616,146,10,0
1617,147,0,0
1618,147,1,0
1619,147,2,0
1620,147,3,0
1621,147,4,0
1622,147,5,0
1623,147,6,0
1624,147,7,0
1625,147,8,0
1626,147,9,0
1627,147,10,0
1628,148,0,0
1629,148,1,0
1630,148,2,0
1631,148,3,0
1632,148,4,0
1633,148,5,0
1634,148,6,0
1635,148,7,0
1636,148,8,0
1637,148,9,0
1638,148,10,0
1639,149,0,0
1640,149,1,0
1641,149,2,0
1642,149,3,0
1643,149,4,0
1644,149,5,0
1645,149,6,0
1646,149,7,0
1647,149,8,0
1648,149,9,0
1649,149,10,0
1650,150,0,0
1651,150,1,0
1652,150,2,0
1653,150,3,0
1654,150,4,0
1655,150,5,0
1656,150,6,0
1657,150,7,0
1658,150,8,0
1659,150,9,0
1660,150,10,0
1661,151,0,0
1662,151,1,0
1663,151,2,1
